LGBM Params || Macro F1 | Recall C0 | Recall C1 | Recall C2
------------------------------------------------------------------------------------------
max_depth=5 | num_leaves=15 | learning_rate=0.1 | n_estimators=500 | subsample=0.8 | colsample_bytree=0.8 || F1: 0.484 | Rec0: 0.672 | Rec1: 0.178 | Rec2: 0.709
max_depth=5 | num_leaves=15 | learning_rate=0.1 | n_estimators=500 | subsample=1 | colsample_bytree=0.8 || F1: 0.484 | Rec0: 0.672 | Rec1: 0.178 | Rec2: 0.709
max_depth=3 | num_leaves=7 | learning_rate=0.01 | n_estimators=200 | subsample=0.8 | colsample_bytree=1 || F1: 0.421 | Rec0: 0.342 | Rec1: 0.374 | Rec2: 0.879
max_depth=3 | num_leaves=7 | learning_rate=0.01 | n_estimators=200 | subsample=1 | colsample_bytree=1 || F1: 0.421 | Rec0: 0.342 | Rec1: 0.374 | Rec2: 0.879
max_depth=3 | num_leaves=15 | learning_rate=0.01 | n_estimators=200 | subsample=0.8 | colsample_bytree=1 || F1: 0.421 | Rec0: 0.339 | Rec1: 0.378 | Rec2: 0.879
max_depth=3 | num_leaves=15 | learning_rate=0.01 | n_estimators=200 | subsample=1 | colsample_bytree=1 || F1: 0.421 | Rec0: 0.339 | Rec1: 0.378 | Rec2: 0.879
max_depth=3 | num_leaves=7 | learning_rate=0.01 | n_estimators=300 | subsample=0.8 | colsample_bytree=1 || F1: 0.430 | Rec0: 0.367 | Rec1: 0.356 | Rec2: 0.885
max_depth=3 | num_leaves=7 | learning_rate=0.01 | n_estimators=300 | subsample=1 | colsample_bytree=1 || F1: 0.430 | Rec0: 0.367 | Rec1: 0.356 | Rec2: 0.885
max_depth=3 | num_leaves=15 | learning_rate=0.01 | n_estimators=300 | subsample=0.8 | colsample_bytree=1 || F1: 0.429 | Rec0: 0.361 | Rec1: 0.358 | Rec2: 0.885
max_depth=3 | num_leaves=15 | learning_rate=0.01 | n_estimators=300 | subsample=1 | colsample_bytree=1 || F1: 0.429 | Rec0: 0.361 | Rec1: 0.358 | Rec2: 0.885
max_depth=3 | num_leaves=7 | learning_rate=0.01 | n_estimators=500 | subsample=0.8 | colsample_bytree=1 || F1: 0.440 | Rec0: 0.382 | Rec1: 0.352 | Rec2: 0.892
