Imputer | Scaler | Balancing | Params || Macro F1 | Recall C1 | Recall C2
--------------------------------------------------------------------------------
KNN | StdScaler | ClassWeight | max_depth=4, learning_rate=0.05, n_estimators=300, subsample=0.8, colsample_bytree=1.0 || F1: 0.470 | Rec0: 0.517 | Rec1: 0.263 | Rec2: 0.844
KNN | StdScaler | ClassWeight | max_depth=4, learning_rate=0.05, n_estimators=300, subsample=1.0, colsample_bytree=0.8 || F1: 0.465 | Rec0: 0.489 | Rec1: 0.278 | Rec2: 0.857
KNN | StdScaler | ClassWeight | max_depth=4, learning_rate=0.05, n_estimators=300, subsample=1.0, colsample_bytree=1.0 || F1: 0.464 | Rec0: 0.488 | Rec1: 0.280 | Rec2: 0.852
KNN | StdScaler | ClassWeight | max_depth=4, learning_rate=0.05, n_estimators=500, subsample=0.8, colsample_bytree=0.8 || F1: 0.479 | Rec0: 0.562 | Rec1: 0.243 | Rec2: 0.816
KNN | StdScaler | ClassWeight | max_depth=4, learning_rate=0.05, n_estimators=500, subsample=0.8, colsample_bytree=1.0 || F1: 0.479 | Rec0: 0.564 | Rec1: 0.242 | Rec2: 0.814
KNN | StdScaler | ClassWeight | max_depth=4, learning_rate=0.05, n_estimators=500, subsample=1.0, colsample_bytree=0.8 || F1: 0.478 | Rec0: 0.538 | Rec1: 0.264 | Rec2: 0.830
KNN | StdScaler | ClassWeight | max_depth=4, learning_rate=0.05, n_estimators=500, subsample=1.0, colsample_bytree=1.0 || F1: 0.474 | Rec0: 0.531 | Rec1: 0.261 | Rec2: 0.828
KNN | StdScaler | ClassWeight | max_depth=4, learning_rate=0.1, n_estimators=200, subsample=0.8, colsample_bytree=0.8 || F1: 0.476 | Rec0: 0.536 | Rec1: 0.267 | Rec2: 0.823
KNN | StdScaler | ClassWeight | max_depth=4, learning_rate=0.1, n_estimators=200, subsample=0.8, colsample_bytree=1.0 || F1: 0.474 | Rec0: 0.537 | Rec1: 0.260 | Rec2: 0.819
KNN | StdScaler | ClassWeight | max_depth=4, learning_rate=0.1, n_estimators=200, subsample=1.0, colsample_bytree=0.8 || F1: 0.469 | Rec0: 0.508 | Rec1: 0.272 | Rec2: 0.841
KNN | StdScaler | ClassWeight | max_depth=4, learning_rate=0.1, n_estimators=200, subsample=1.0, colsample_bytree=1.0 || F1: 0.470 | Rec0: 0.509 | Rec1: 0.273 | Rec2: 0.841
KNN | StdScaler | ClassWeight | max_depth=4, learning_rate=0.1, n_estimators=300, subsample=0.8, colsample_bytree=0.8 || F1: 0.484 | Rec0: 0.577 | Rec1: 0.244 | Rec2: 0.802
KNN | StdScaler | ClassWeight | max_depth=4, learning_rate=0.1, n_estimators=300, subsample=0.8, colsample_bytree=1.0 || F1: 0.481 | Rec0: 0.579 | Rec1: 0.234 | Rec2: 0.796
KNN | StdScaler | ClassWeight | max_depth=4, learning_rate=0.1, n_estimators=300, subsample=1.0, colsample_bytree=0.8 || F1: 0.475 | Rec0: 0.547 | Rec1: 0.248 | Rec2: 0.816
KNN | StdScaler | ClassWeight | max_depth=4, learning_rate=0.1, n_estimators=300, subsample=1.0, colsample_bytree=1.0 || F1: 0.476 | Rec0: 0.547 | Rec1: 0.249 | Rec2: 0.818
KNN | StdScaler | ClassWeight | max_depth=4, learning_rate=0.1, n_estimators=500, subsample=0.8, colsample_bytree=0.8 || F1: 0.489 | Rec0: 0.626 | Rec1: 0.218 | Rec2: 0.755
KNN | StdScaler | ClassWeight | max_depth=4, learning_rate=0.1, n_estimators=500, subsample=0.8, colsample_bytree=1.0 || F1: 0.484 | Rec0: 0.632 | Rec1: 0.205 | Rec2: 0.743
